,bill_number,title,short_title​,sponsor_party​,introduced_date​,enacted​,vetoed​,cosponsors_count​,cosponsors_R,cosponsors_D,cosponsors_I,primary_subject​,summary_short​,actions_count​,votes_count
1002,HRES703,Providing for consideration of the bill (H.R. 3648) to amend the Internal Revenue Code of 1986 to exclude discharges of indebtedness on principal residences from gross income and for other purposes.,,D,2007-10-02,,,0,0,0,0,Congress,Sets forth the rule for consideration of H.R. 3648 (Mortgage Forgiveness Debt Relief Act of 2007).,10,2
1003,HR3648,To amend the Internal Revenue Code of 1986 to exclude discharges of indebtedness on principal residences from gross income and for other purposes.,Mortgage Forgiveness Debt Relief Act of 2007,D,2007-09-25,,,25,3,22,0,Taxation,Mortgage Forgiveness Debt Relief Act of 2007 - Amends the Internal Revenue Code to exclude from gross income amounts attributable to a discharge prior to January 1 2010 of indebtedness incurred to acquire a principal residence. Limits to $2 million the excludable amount of such indebtedness. Reduces the basis of a principal residence by the amount of discharged indebtedness excluded from gross income. Disallows an exclusion for a discharge of indebtedness on account of services performed f...,30,2
1004,HRES32,"A resolution denouncing the practices of female genital mutilation domestic violence ""honor"" killings acid burnings dowry deaths and other gender-based persecutions and expressing the sense of the House of Representatives that participation protection recognition and equality of women is crucial to achieving a just moral and peaceful society.",,D,2007-01-05,,,44,2,42,0,International affairs,Denounces and demands the cessation of the practices of female genital mutilation domestic violence honor killings acid burning dowry deaths and other gender-based persecutions and crimes. Asserts that women are not chattel should not be trafficked exploited or sold for services and should not be denied the right to education to ownership of property or to participate in full economic social and political life. Demands the cessation of these barbaric practices and the dismantling...,11,1
1005,HR400,To prohibit profiteering and fraud relating to military action relief and reconstruction efforts and for other purposes.,War Profiteering Prevention Act of 2007,D,2007-01-11,,,12,0,12,0,Crime and law enforcement,War Profiteering Prevention Act of 2007 - Amends the federal criminal code to prohibit profiteering and fraud involving a contract or the provision of goods or services in connection with a mission of the U.S. Government overseas. Imposes: (1) a fine of not more than $1 million and/or a prison term of up to 20 years for knowingly defrauding the United States or a provisional authority in connection with such a mission or for materially overvaluing any goods or services with the intent to defr...,18,1
1006,HRES720,Providing for consideration of the bill (H.R. 2895) to establish the National Affordable Housing Trust Fund in the Treasury of the United States to provide for the construction rehabilitation and preservation of decent safe and affordable housing for low-income families.,,D,2007-10-09,,,0,0,0,0,Congress,Sets forth the rule for consideration of H.R. 2895 (National Affordable Housing Trust Fund Act of 2007).,10,2
1007,HRES719,Providing for consideration of the bill (H.R. 3056) to amend the Internal Revenue Code of 1986 to repeal the authority of the Internal Revenue Service to use private debt collection companies to delay implementation of withholding taxes on government contractors to revise the tax rules on expatriation and for other purposes.,,D,2007-10-09,,,0,0,0,0,Congress,Sets forth the rule for consideration of H.R. 3056 (Tax Collection Responsibility Act of 2007).,10,2
1008,HR2895,To establish the National Affordable Housing Trust Fund in the Treasury of the United States to provide for the construction rehabilitation and preservation of decent safe and affordable housing for low-income families.,National Affordable Housing Trust Fund Act of 2007,D,2007-06-28,,,103,12,91,0,Housing and community development,National Affordable Housing Trust Fund Act of 2007 - Amends the Cranston-Gonzalez National Affordable Housing Act to establish in the Treasury the National Affordable Housing Trust Fund (Fund). Declares that: (1) the Fund shall consist of certain amounts of the Federal National Mortgage Association and the Federal Home Loan Mortgage Corporation transferred to the Fund under specified law including Federal Housing Administration (FHA) savings; and (2) all assistance provided from the Fund sha...,31,4
1009,HR3056,To amend the Internal Revenue Code of 1986 to repeal the authority of the Internal Revenue Service to use private debt collection companies to delay implementation of withholding taxes on government contractors to revise the tax rules on expatriation and for other purposes.,Tax Collection Responsibility Act of 2007,D,2007-07-17,,,9,0,9,0,Taxation,Tax Collection Responsibility Act of 2007 - (Sec. 2) Repeals the authority of the Internal Revenue Service (IRS) to enter into private debt collection contracts. Exempts contracts entered into before July 18 2007 if such contracts are not renewed or extended after such date. Nullifies any contract entered into extended or renewed on or after July 18 2007.(Sec. 3) Delays until 2012 the requirement for federal state and local agencies to withhold 3% of payments for goods and services pro...,18,2
1010,HRES738,Expressing the sense of the House of Representatives regarding the Government of Syria's continued interference in the internal affairs of Lebanon.,,D,2007-10-15,,,3,2,1,0,International affairs,Condemns the campaign of murder terror and intimidation aimed at overthrowing Lebanon's democratically-elected government and establishing a new Lebanese government subservient to Syria and Iran. Condemns Syria and Iran for their gross interference in Lebanon's internal political affairs and gross violations of U.N. Security Council resolutions protective of Lebanon's sovereignty and independence. Condemns Lebanese political parties and actors who have allied themselves with Syria and Iran ...,8,1
1011,HR2089,"To designate the facility of the United States Postal Service located at 701 Loyola Avenue in New Orleans Louisiana as the ""Louisiana Armed Services Veterans Post Office"".",,D,2007-05-01,,,6,5,1,0,Commemorations,"Designates the facility of the United States Postal Service located at 701 Loyola Avenue in New Orleans Louisiana as the ""Louisiana Armed Services Veterans Post Office.""",21,1
1012,HR20,To provide for research on and services for individuals with postpartum depression and psychosis.,Melanie Blocker-Stokes Postpartum Depression Research and Care Act,D,2007-01-04,,,130,14,116,0,Health,Melanie Blocker-Stokes Postpartum Depression Research and Care Act - Title I: Research on Postpartum Depression and Psychosis - (Sec. 101) Encourages the Secretary of Health and Human Services acting through the Director of the National Institutes of Health (NIH) and the Director of the National Institute of Mental Health (NIMH) to continue aggressive work on postpartum depression and other postpartum psychosis. Encourages the Director of NIMH to continue research to expand the understandin...,17,1
1013,HRES741,Providing for consideration of the resolution (H. Res. 734) expressing the sense of the House of Representatives regarding the withholding of information relating to corruption in Iraq.,,D,2007-10-15,,,0,0,0,0,Congress,Sets forth the rule for consideration of H.Res. 734 (expressing the sense of the House regarding the withholding of information relating to corruption in Iraq).,10,2
1014,HRES742,Providing for consideration of the bill (H.R. 2102) to maintain the free flow of information to the public by providing conditions for the federally compelled disclosure of information by certain persons connected with the news media.,,D,2007-10-15,,,0,0,0,0,Congress,Sets forth the rule for consideration of H.R. 2102 (Free Flow of Information Act of 2007).,10,2
